date,state,cases,deaths,new_cases,pct_change,seven_day_ave,split
2020-01-25,California,1,0.0,1.0,,0.5,train
2020-01-26,California,2,0.0,1.0,1.0,0.4,train
2020-01-27,California,2,0.0,0.0,0.0,0.3333333333333333,train
2020-01-28,California,2,0.0,0.0,0.0,0.4285714285714285,train
2020-01-29,California,2,0.0,0.0,0.0,0.2857142857142857,train
2020-01-30,California,2,0.0,0.0,0.0,0.5714285714285714,train
2020-01-31,California,3,0.0,1.0,0.5,0.5714285714285714,train
2020-02-01,California,3,0.0,0.0,0.0,0.5714285714285714,train
2020-02-02,California,6,0.0,3.0,1.0,0.5714285714285714,train
2020-02-03,California,6,0.0,0.0,0.0,0.5714285714285714,train
2020-02-04,California,6,0.0,0.0,0.0,0.4285714285714285,train
2020-02-05,California,6,0.0,0.0,0.0,0.4285714285714285,train
2020-02-06,California,6,0.0,0.0,0.0,0.0,train
2020-02-07,California,6,0.0,0.0,0.0,0.1428571428571428,train
2020-02-08,California,6,0.0,0.0,0.0,0.1428571428571428,train
2020-02-09,California,6,0.0,0.0,0.0,0.1428571428571428,train
2020-02-10,California,7,0.0,1.0,0.1666666666666667,0.1428571428571428,train
2020-02-11,California,7,0.0,0.0,0.0,0.1428571428571428,train
2020-02-12,California,7,0.0,0.0,0.0,0.1428571428571428,train
2020-02-13,California,7,0.0,0.0,0.0,0.1428571428571428,train
2020-02-14,California,7,0.0,0.0,0.0,0.0,train
2020-02-15,California,7,0.0,0.0,0.0,0.0,train
2020-02-16,California,7,0.0,0.0,0.0,0.0,train
2020-02-17,California,7,0.0,0.0,0.0,0.1428571428571428,train
2020-02-18,California,7,0.0,0.0,0.0,0.2857142857142857,train
2020-02-19,California,7,0.0,0.0,0.0,0.2857142857142857,train
2020-02-20,California,8,0.0,1.0,0.1428571428571428,0.2857142857142857,train
2020-02-21,California,9,0.0,1.0,0.125,0.5714285714285714,train
2020-02-22,California,9,0.0,0.0,0.0,0.5714285714285714,train
2020-02-23,California,9,0.0,0.0,0.0,2.7142857142857144,train
2020-02-24,California,11,0.0,2.0,0.2222222222222223,2.571428571428572,train
2020-02-25,California,11,0.0,0.0,0.0,2.571428571428572,train
2020-02-26,California,26,0.0,15.0,1.3636363636363638,2.7142857142857144,train
2020-02-27,California,26,0.0,0.0,0.0,3.4285714285714284,train
2020-02-28,California,27,0.0,1.0,0.0384615384615385,3.857142857142857,train
2020-02-29,California,28,0.0,1.0,0.0370370370370369,4.857142857142857,train
2020-03-01,California,33,0.0,5.0,0.1785714285714286,4.142857142857143,train
2020-03-02,California,38,0.0,5.0,0.1515151515151516,5.857142857142857,train
2020-03-03,California,45,0.0,7.0,0.1842105263157893,7.714285714285714,train
2020-03-04,California,55,1.0,10.0,0.2222222222222223,10.285714285714286,train
2020-03-05,California,67,1.0,12.0,0.2181818181818182,11.285714285714286,train
2020-03-06,California,81,1.0,14.0,0.2089552238805969,19.142857142857142,train
2020-03-07,California,100,1.0,19.0,0.2345679012345678,19.142857142857142,train
2020-03-08,California,112,1.0,12.0,0.1200000000000001,21.0,train
2020-03-09,California,172,2.0,60.0,0.5357142857142858,26.428571428571427,train
2020-03-10,California,179,3.0,7.0,0.0406976744186047,34.142857142857146,train
2020-03-11,California,202,4.0,23.0,0.1284916201117318,40.142857142857146,train
2020-03-12,California,252,4.0,50.0,0.2475247524752475,52.285714285714285,train
2020-03-13,California,320,5.0,68.0,0.2698412698412697,59.42857142857143,train
2020-03-14,California,381,5.0,61.0,0.190625,79.0,train
2020-03-15,California,478,6.0,97.0,0.2545931758530184,98.71428571428572,train
2020-03-16,California,588,11.0,110.0,0.2301255230125523,116.42857142857144,train
2020-03-17,California,732,14.0,144.0,0.2448979591836735,137.57142857142858,train
2020-03-18,California,893,17.0,161.0,0.2199453551912569,166.14285714285714,train
2020-03-19,California,1067,19.0,174.0,0.1948488241881298,196.14285714285717,train
2020-03-20,California,1283,24.0,216.0,0.2024367385192127,236.0,train
2020-03-21,California,1544,28.0,261.0,0.2034294621979735,273.1428571428572,train
2020-03-22,California,1851,35.0,307.0,0.1988341968911917,327.1428571428572,train
2020-03-23,California,2240,39.0,389.0,0.2101566720691519,427.57142857142856,train
2020-03-24,California,2644,52.0,404.0,0.1803571428571428,518.8571428571429,train
2020-03-25,California,3183,68.0,539.0,0.203857791225416,574.5714285714286,train
2020-03-26,California,4060,83.0,877.0,0.2755262331134149,638.5714285714286,train
2020-03-27,California,4915,104.0,855.0,0.2105911330049261,740.1428571428571,train
2020-03-28,California,5566,122.0,651.0,0.1324516785350966,848.4285714285714,train
2020-03-29,California,6321,132.0,755.0,0.1356449874236436,953.4285714285714,train
2020-03-30,California,7421,147.0,1100.0,0.1740230976111374,1018.5714285714286,train
2020-03-31,California,8583,184.0,1162.0,0.1565826707990836,1093.428571428571,train
2020-04-01,California,9857,212.0,1274.0,0.1484329488523825,1175.7142857142858,train
2020-04-02,California,11190,247.0,1333.0,0.1352338439687532,1268.7142857142858,train
2020-04-03,California,12569,282.0,1379.0,0.1232350312779266,1277.142857142857,train
2020-04-04,California,13796,323.0,1227.0,0.0976211313549209,1279.571428571429,train
2020-04-05,California,15202,351.0,1406.0,0.1019135981443897,1312.2857142857142,train
2020-04-06,California,16361,386.0,1159.0,0.0762399684252073,1285.857142857143,train
2020-04-07,California,17540,447.0,1179.0,0.0720616099260436,1256.7142857142858,train
2020-04-08,California,19043,506.0,1503.0,0.0856898517673887,1232.142857142857,train
2020-04-09,California,20191,548.0,1148.0,0.0602846190201122,1160.142857142857,train
2020-04-10,California,21366,594.0,1175.0,0.058194244960626,1139.0,train
2020-04-11,California,22421,632.0,1055.0,0.0493775156791163,1174.0,train
2020-04-12,California,23323,676.0,902.0,0.0402301413853083,1152.0,train
2020-04-13,California,24334,725.0,1011.0,0.0433477682973888,1135.857142857143,train
2020-04-14,California,25758,778.0,1424.0,0.0585189446864469,1147.428571428571,train
2020-04-15,California,27107,885.0,1349.0,0.0523720785775292,1201.142857142857,train
2020-04-16,California,28142,971.0,1035.0,0.0381820194045818,1174.428571428571,train
2020-04-17,California,29398,1050.0,1256.0,0.0446308009380995,1361.142857142857,train
2020-04-18,California,30829,1146.0,1431.0,0.0486767807333832,1440.857142857143,train
2020-04-19,California,31544,1176.0,715.0,0.0231924486684615,1495.142857142857,train
2020-04-20,California,33862,1223.0,2318.0,0.0734846563530307,1627.428571428571,train
