date,cases,deaths,new_cases,pct_change,seven_day_ave
2020-07-31,502273.0,9222.0,8004.0,0.01619361117124485,7876.0
2020-08-07,528124.0,9719.57142857143,6552.714285714285,0.012564412738423014,6890.7551020408155
2020-08-14,584471.2857142857,10675.285714285714,9300.142857142857,0.01616529412241168,8984.73469387755
2020-08-21,640873.2857142857,11543.142857142857,6678.285714285715,0.01055153882274754,6714.857142857143
2020-08-28,681827.4285714285,12432.42857142857,5485.714285714285,0.008112002224329729,5526.142857142857
2020-09-04,717199.2857142857,13212.142857142857,4900.285714285715,0.006873656127101986,4813.061224489796
2020-09-11,746493.1428571428,13913.285714285714,3490.4285714285716,0.004697465189400444,3627.1836734693875
2020-09-18,770379.1428571428,14602.57142857143,3473.0,0.00452540203925308,3479.6530612244896
2020-09-25,795173.7142857143,15222.0,3471.285714285714,0.004384264542164086,3460.3673469387754
2020-10-02,818207.0,15798.42857142857,3232.714285714286,0.0039647920470976695,3245.6938775510203
2020-10-09,840932.1428571428,16283.857142857143,3266.285714285714,0.003897283411034902,3233.081632653061
2020-10-16,863790.0,16697.85714285714,3267.5714285714284,0.0037952392754645775,3234.6326530612246
2020-10-23,887617.4285714285,17106.285714285714,4032.285714285714,0.004551938439377512,3942.673469387755
2020-10-30,918538.5714285715,17473.428571428572,4216.428571428572,0.0046089004563574865,4340.408163265306
2020-11-06,950121.2857142857,17772.285714285714,5110.714285714285,0.0053970281727792535,5131.979591836735
2020-11-13,994211.8571428572,18073.571428571428,7351.714285714285,0.007431747151302729,7403.530612244898
2020-11-20,1059605.857142857,18407.714285714286,11049.57142857143,0.01050704699917301,11004.469387755102
2020-11-27,1150642.2857142857,18883.571428571428,13808.857142857143,0.012147428947513068,13891.061224489795
2020-12-04,1257307.7142857143,19376.571428571428,17871.285714285714,0.01435010544221663,18367.85714285714
2020-12-11,1430937.142857143,20294.14285714286,30007.0,0.02134924440749088,28901.61224489796
2020-12-18,1672705.5714285714,21601.714285714286,40205.142857142855,0.02445912749822316,39669.102040816324
2020-12-25,1966390.0,23308.85714285714,36441.42857142857,0.019029016414924556,40575.530612244904
2021-01-01,2239786.1428571427,25082.714285714286,40149.71428571428,0.01841321936654881,38332.551020408166
2021-01-08,2513826.285714286,27640.0,42058.57142857143,0.017037108511032097,40796.4693877551
2021-01-15,2814116.1428571427,31147.285714285714,42519.857142857145,0.015377789001945847,41790.87755102041
2021-01-22,3062110.8571428573,34592.71428571428,29077.714285714286,0.009618431376831842,29747.4693877551
2021-01-29,3230933.4285714286,38329.0,21595.428571428572,0.00673712961086118,21338.775510204083
2021-02-05,3353578.5714285714,41984.42857142857,14746.42857142857,0.0044198377937665345,14823.42857142857
2021-02-12,3439916.285714286,45057.0,10661.285714285714,0.0031104768614842776,10686.183673469388
2021-02-19,3499344.8571428573,47644.42857142857,7274.714285714285,0.0020832233848836,7291.632653061225
2021-02-26,3543628.4285714286,50283.28571428572,5761.714285714285,0.0016282679354135648,5756.857142857143
2021-03-05,3578655.8571428573,52830.57142857143,4447.285714285715,0.0012440067505216565,4565.65306122449
2021-03-12,3607617.285714286,54669.0,3523.8571428571427,0.0009779528916450556,3703.3673469387754
2021-03-19,3629360.714285714,56839.28571428572,3023.1428571428573,0.0008336302098132757,2860.938775510204
2021-03-26,3648386.0,58002.42857142857,2597.285714285714,0.0007122897869925751,2650.9591836734694
2021-04-02,3666704.4285714286,59159.42857142857,2662.1428571428573,0.000726419301660857,2663.6530612244896
2021-04-09,3685530.8571428573,59918.0,2638.0,0.0007162061211416493,2759.061224489796
2021-04-16,3706363.5714285714,60606.28571428572,2945.5714285714284,0.0007955192397559914,2842.551020408163
2021-04-23,3723270.5714285714,61146.142857142855,2233.285714285714,0.0006001499527980807,2149.4285714285716
2021-04-30,3736350.5714285714,61551.0,1721.2857142857142,0.0004608300454245841,1831.7959183673468
2021-05-07,3749554.0,62028.42857142857,1960.857142857143,0.0005231656548547102,1894.387755102041
2021-05-14,3761968.8571428573,62420.28571428572,1570.142857142857,0.00041752138359187264,1611.918367346939
2021-05-21,3771793.4285714286,62740.0,1280.4285714285713,0.00033956817281387074,1272.204081632653
2021-05-28,3781319.1428571427,63021.28571428572,1745.142857142857,0.00046161483573830305,1566.387755102041
2021-06-04,3791305.5714285714,63225.857142857145,893.2857142857143,0.00023564895355522784,1113.9795918367347
2021-06-11,3798161.1428571427,63147.28571428572,976.0,0.0002570253690146185,966.4285714285714
2021-06-18,3804508.285714286,63201.57142857143,905.2857142857143,0.00023798916336985925,901.6938775510205
2021-06-25,3811044.1428571427,63403.857142857145,978.7142857142857,0.0002568511398539324,992.5714285714286
2021-07-02,3831271.0,63624.0,7715.0,0.0020205723495221634,5630.020408163265
2021-07-09,3880599.4285714286,63725.28571428572,5355.428571428572,0.0013816595202391963,6360.816326530612
2021-07-16,3917814.714285714,63971.857142857145,3518.8571428571427,0.0008986212710158727,4517.408163265306
2021-07-23,3951734.285714286,64138.42857142857,6412.0,0.0016237777279126358,6059.326530612246
2021-07-30,4004161.5714285714,64302.57142857143,8392.57142857143,0.002098538404732223,8450.836734693878
2021-08-06,4072909.1428571427,64561.42857142857,11034.714285714286,0.002714686205756957,11098.387755102041
2021-08-13,4156797.1428571427,64677.71428571428,11928.142857142857,0.0028768243680698446,12202.877551020409
2021-08-20,4249288.285714285,64778.0,15531.57142857143,0.0036626517797104796,14476.57142857143
2021-08-27,4354575.857142857,65293.28571428572,13232.42857142857,0.0030467948652315485,14203.020408163266
2021-09-03,4453711.428571428,65930.71428571429,14580.0,0.0032842674425009716,14114.346938775512
2021-09-10,4536923.571428572,66659.42857142857,9778.285714285714,0.002159772287041831,10344.183673469388
2021-09-17,4607404.714285715,67500.28571428571,10350.42857142857,0.0022513914532807772,10076.26530612245
2021-09-24,4670630.857142857,68312.28571428571,7924.857142857143,0.0016995696957327056,7789.367346938775
2021-10-01,4721369.142857143,69028.0,7486.571428571428,0.001587887860929671,7370.836734693878
