date,state,cases,deaths,new_cases,pct_change,seven_day_ave
2020-01-25,California,1,0.0,1.0,,0.5
2020-01-26,California,2,0.0,1.0,1.0,0.4
2020-01-27,California,2,0.0,0.0,0.0,0.3333333333333333
2020-01-28,California,2,0.0,0.0,0.0,0.42857142857142855
2020-01-29,California,2,0.0,0.0,0.0,0.2857142857142857
2020-01-30,California,2,0.0,0.0,0.0,0.5714285714285714
2020-01-31,California,3,0.0,1.0,0.5,0.5714285714285714
2020-02-01,California,3,0.0,0.0,0.0,0.5714285714285714
2020-02-02,California,6,0.0,3.0,1.0,0.5714285714285714
2020-02-03,California,6,0.0,0.0,0.0,0.5714285714285714
2020-02-04,California,6,0.0,0.0,0.0,0.42857142857142855
2020-02-05,California,6,0.0,0.0,0.0,0.42857142857142855
2020-02-06,California,6,0.0,0.0,0.0,0.0
2020-02-07,California,6,0.0,0.0,0.0,0.14285714285714285
2020-02-08,California,6,0.0,0.0,0.0,0.14285714285714285
2020-02-09,California,6,0.0,0.0,0.0,0.14285714285714285
2020-02-10,California,7,0.0,1.0,0.16666666666666674,0.14285714285714285
2020-02-11,California,7,0.0,0.0,0.0,0.14285714285714285
2020-02-12,California,7,0.0,0.0,0.0,0.14285714285714285
2020-02-13,California,7,0.0,0.0,0.0,0.14285714285714285
2020-02-14,California,7,0.0,0.0,0.0,0.0
2020-02-15,California,7,0.0,0.0,0.0,0.0
2020-02-16,California,7,0.0,0.0,0.0,0.0
2020-02-17,California,7,0.0,0.0,0.0,0.14285714285714285
2020-02-18,California,7,0.0,0.0,0.0,0.2857142857142857
2020-02-19,California,7,0.0,0.0,0.0,0.2857142857142857
2020-02-20,California,8,0.0,1.0,0.1428571428571428,0.2857142857142857
2020-02-21,California,9,0.0,1.0,0.125,0.5714285714285714
2020-02-22,California,9,0.0,0.0,0.0,0.5714285714285714
2020-02-23,California,9,0.0,0.0,0.0,2.7142857142857144
2020-02-24,California,11,0.0,2.0,0.22222222222222232,2.5714285714285716
2020-02-25,California,11,0.0,0.0,0.0,2.5714285714285716
2020-02-26,California,26,0.0,15.0,1.3636363636363638,2.7142857142857144
2020-02-27,California,26,0.0,0.0,0.0,3.4285714285714284
2020-02-28,California,27,0.0,1.0,0.03846153846153855,3.857142857142857
2020-02-29,California,28,0.0,1.0,0.03703703703703698,4.857142857142857
2020-03-01,California,33,0.0,5.0,0.1785714285714286,4.142857142857143
2020-03-02,California,38,0.0,5.0,0.1515151515151516,5.857142857142857
2020-03-03,California,45,0.0,7.0,0.18421052631578938,7.714285714285714
2020-03-04,California,55,1.0,10.0,0.22222222222222232,10.285714285714286
2020-03-05,California,67,1.0,12.0,0.21818181818181825,11.285714285714286
2020-03-06,California,81,1.0,14.0,0.20895522388059695,19.142857142857142
2020-03-07,California,100,1.0,19.0,0.23456790123456783,19.142857142857142
2020-03-08,California,112,1.0,12.0,0.1200000000000001,21.0
